feature,importance
passes,0.16592213046469703
precisao_passes,0.13437019605153652
posse_de_bola,0.11706455087284445
chutes,0.11574625809912542
faltas,0.10913181816626448
escanteios,0.09137193877831423
chutes_no_alvo,0.09128033834925342
cartao_amarelo,0.07953905573003052
impedimentos,0.06231136328642037
cartao_vermelho,0.03326235020151362
